wall_time_iso,ros_time_s,experiment_id,lighting,scenario,ground_truth_m,notes,person_z_m,person_detected,depth_valid,in_zone,depth_status_text,safety_state_text,safety_level,state_changed,det_count,det_depth_valid_count,detections_json,closest_det_conf,closest_bbox_cx,closest_bbox_cy,closest_bbox_w,closest_bbox_h,closest_depth_m
2026-04-22T14:40:13.237,1776858013.235287,exp1_two_people_similar_distance,400_lux,two_people_same_distance,2.000,,2.0209,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.02 m | valid=6324/8046 | roi_mode=full,SAFE (z=2.01m),0,0,2,0,"[{""cx"":466.34,""cy"":448.15,""w"":317.18,""h"":895.95,""x1"":51,""y1"":0,""x2"":104,""y2"":149,""conf"":0.9386,""depth_m"":null,""depth_valid"":false},{""cx"":722.94,""cy"":435.9,""w"":265.0,""h"":869.31,""x1"":99,""y1"":0,""x2"":143,""y2"":145,""conf"":0.9372,""depth_m"":null,""depth_valid"":false}]",0.9386,466.34,448.15,317.18,895.95,
2026-04-22T14:40:13.334,1776858013.334787,exp1_two_people_similar_distance,400_lux,two_people_same_distance,2.000,,2.0197,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.02 m | valid=6221/7897 | roi_mode=full,SAFE (z=2.01m),0,0,2,0,"[{""cx"":729.61,""cy"":436.87,""w"":273.07,""h"":870.74,""x1"":99,""y1"":0,""x2"":145,""y2"":145,""conf"":0.9367,""depth_m"":null,""depth_valid"":false},{""cx"":463.32,""cy"":447.43,""w"":312.06,""h"":894.86,""x1"":51,""y1"":0,""x2"":104,""y2"":149,""conf"":0.9324,""depth_m"":null,""depth_valid"":false}]",0.9324,463.32,447.43,312.06,894.86,
2026-04-22T14:40:13.435,1776858013.435175,exp1_two_people_similar_distance,400_lux,two_people_same_distance,2.000,,2.0197,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.02 m | valid=6221/7897 | roi_mode=full,SAFE (z=2.01m),0,0,2,0,"[{""cx"":731.56,""cy"":437.46,""w"":276.76,""h"":871.58,""x1"":99,""y1"":0,""x2"":145,""y2"":146,""conf"":0.935,""depth_m"":null,""depth_valid"":false},{""cx"":462.92,""cy"":447.51,""w"":311.2,""h"":894.95,""x1"":51,""y1"":0,""x2"":103,""y2"":149,""conf"":0.9323,""depth_m"":null,""depth_valid"":false}]",0.9323,462.92,447.51,311.20,894.95,
2026-04-22T14:40:13.539,1776858013.538988,exp1_two_people_similar_distance,400_lux,two_people_same_distance,2.000,,2.0197,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.02 m | valid=6221/7897 | roi_mode=full,SAFE (z=2.01m),0,0,2,0,"[{""cx"":731.56,""cy"":437.46,""w"":276.76,""h"":871.58,""x1"":99,""y1"":0,""x2"":145,""y2"":146,""conf"":0.935,""depth_m"":null,""depth_valid"":false},{""cx"":462.92,""cy"":447.51,""w"":311.2,""h"":894.95,""x1"":51,""y1"":0,""x2"":103,""y2"":149,""conf"":0.9323,""depth_m"":null,""depth_valid"":false}]",0.9323,462.92,447.51,311.20,894.95,
2026-04-22T14:40:13.634,1776858013.634819,exp1_two_people_similar_distance,400_lux,two_people_same_distance,2.000,,2.0053,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.01 m | valid=5972/7748 | roi_mode=full,SAFE (z=2.01m),0,0,2,0,"[{""cx"":731.56,""cy"":437.46,""w"":276.76,""h"":871.58,""x1"":99,""y1"":0,""x2"":145,""y2"":146,""conf"":0.935,""depth_m"":null,""depth_valid"":false},{""cx"":462.92,""cy"":447.51,""w"":311.2,""h"":894.95,""x1"":51,""y1"":0,""x2"":103,""y2"":149,""conf"":0.9323,""depth_m"":null,""depth_valid"":false}]",0.9323,462.92,447.51,311.20,894.95,
2026-04-22T14:40:13.746,1776858013.746609,exp1_two_people_similar_distance,400_lux,two_people_same_distance,2.000,,2.0038,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.00 m | valid=5874/7748 | roi_mode=full,SAFE (z=2.00m),0,1,2,0,"[{""cx"":732.74,""cy"":438.03,""w"":280.25,""h"":872.41,""x1"":99,""y1"":0,""x2"":146,""y2"":146,""conf"":0.9349,""depth_m"":null,""depth_valid"":false},{""cx"":462.98,""cy"":448.1,""w"":311.58,""h"":896.19,""x1"":51,""y1"":0,""x2"":103,""y2"":149,""conf"":0.9311,""depth_m"":null,""depth_valid"":false}]",0.9311,462.98,448.10,311.58,896.19,
2026-04-22T14:40:13.834,1776858013.834795,exp1_two_people_similar_distance,400_lux,two_people_same_distance,2.000,,2.0037,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.00 m | valid=5804/7748 | roi_mode=full,SAFE (z=2.00m),0,0,2,0,"[{""cx"":732.74,""cy"":438.03,""w"":280.25,""h"":872.41,""x1"":99,""y1"":0,""x2"":146,""y2"":146,""conf"":0.9349,""depth_m"":null,""depth_valid"":false},{""cx"":462.98,""cy"":448.1,""w"":311.58,""h"":896.19,""x1"":51,""y1"":0,""x2"":103,""y2"":149,""conf"":0.9311,""depth_m"":null,""depth_valid"":false}]",0.9311,462.98,448.10,311.58,896.19,
2026-04-22T14:40:13.934,1776858013.934968,exp1_two_people_similar_distance,400_lux,two_people_same_distance,2.000,,2.0037,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.00 m | valid=6060/7800 | roi_mode=full,SAFE (z=2.00m),0,0,2,0,"[{""cx"":728.91,""cy"":437.88,""w"":274.34,""h"":871.76,""x1"":99,""y1"":0,""x2"":145,""y2"":146,""conf"":0.9368,""depth_m"":null,""depth_valid"":false},{""cx"":461.5,""cy"":449.39,""w"":311.13,""h"":898.78,""x1"":51,""y1"":0,""x2"":103,""y2"":150,""conf"":0.9307,""depth_m"":null,""depth_valid"":false}]",0.9307,461.50,449.39,311.13,898.78,
2026-04-22T14:40:14.034,1776858014.034764,exp1_two_people_similar_distance,400_lux,two_people_same_distance,2.000,,1.9952,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.00 m | valid=5926/7800 | roi_mode=full,SAFE (z=2.00m),0,0,2,0,"[{""cx"":727.62,""cy"":437.71,""w"":270.9,""h"":872.68,""x1"":99,""y1"":0,""x2"":144,""y2"":146,""conf"":0.9379,""depth_m"":null,""depth_valid"":false},{""cx"":458.6,""cy"":449.38,""w"":311.17,""h"":898.75,""x1"":51,""y1"":0,""x2"":103,""y2"":150,""conf"":0.9303,""depth_m"":null,""depth_valid"":false}]",0.9303,458.60,449.38,311.17,898.75,
2026-04-22T14:40:14.134,1776858014.134812,exp1_two_people_similar_distance,400_lux,two_people_same_distance,2.000,,1.9958,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.00 m | valid=5947/7800 | roi_mode=full,SAFE (z=2.00m),0,0,2,0,"[{""cx"":727.62,""cy"":437.71,""w"":270.9,""h"":872.68,""x1"":99,""y1"":0,""x2"":144,""y2"":146,""conf"":0.9379,""depth_m"":null,""depth_valid"":false},{""cx"":458.6,""cy"":449.38,""w"":311.17,""h"":898.75,""x1"":51,""y1"":0,""x2"":103,""y2"":150,""conf"":0.9303,""depth_m"":null,""depth_valid"":false}]",0.9303,458.60,449.38,311.17,898.75,
