wall_time_iso,ros_time_s,experiment_id,lighting,scenario,ground_truth_m,notes,person_z_m,person_detected,depth_valid,in_zone,depth_status_text,safety_state_text,safety_level,state_changed,det_count,closest_det_conf,closest_bbox_cx,closest_bbox_cy,closest_bbox_w,closest_bbox_h
2026-04-14T13:29:33.564,1776162573.564331,distance_accuracy,low,static,2.800,point_10,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:29:33.663,1776162573.663951,distance_accuracy,low,static,2.800,point_10,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:29:33.764,1776162573.764171,distance_accuracy,low,static,2.800,point_10,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:29:33.863,1776162573.863962,distance_accuracy,low,static,2.800,point_10,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:29:33.964,1776162573.964540,distance_accuracy,low,static,2.800,point_10,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:29:34.064,1776162574.064184,distance_accuracy,low,static,2.800,point_10,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:29:34.164,1776162574.164962,distance_accuracy,low,static,2.800,point_10,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:29:34.263,1776162574.263941,distance_accuracy,low,static,2.800,point_10,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:29:34.364,1776162574.364447,distance_accuracy,low,static,2.800,point_10,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:29:34.466,1776162574.466636,distance_accuracy,low,static,2.800,point_10,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:29:34.563,1776162574.563953,distance_accuracy,low,static,2.800,point_10,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
