wall_time_iso,ros_time_s,experiment_id,lighting,scenario,ground_truth_m,notes,person_z_m,person_detected,depth_valid,in_zone,depth_status_text,safety_state_text,safety_level,state_changed,det_count,closest_det_conf,closest_bbox_cx,closest_bbox_cy,closest_bbox_w,closest_bbox_h
2026-04-14T13:28:38.263,1776162518.263029,distance_accuracy,low,static,2.400,point_09,-1.0000,0,0,0,,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:28:38.362,1776162518.362937,distance_accuracy,low,static,2.400,point_09,-1.0000,0,0,0,,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:28:38.470,1776162518.470929,distance_accuracy,low,static,2.400,point_09,-1.0000,0,0,0,,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:28:38.563,1776162518.563569,distance_accuracy,low,static,2.400,point_09,-1.0000,0,0,0,,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:28:38.664,1776162518.664768,distance_accuracy,low,static,2.400,point_09,-1.0000,0,0,0,,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:28:38.763,1776162518.763297,distance_accuracy,low,static,2.400,point_09,-1.0000,0,0,0,,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:28:38.862,1776162518.862884,distance_accuracy,low,static,2.400,point_09,-1.0000,0,0,0,,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:28:38.963,1776162518.963851,distance_accuracy,low,static,2.400,point_09,-1.0000,0,0,0,,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:28:39.062,1776162519.062950,distance_accuracy,low,static,2.400,point_09,-1.0000,0,0,0,,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:28:39.162,1776162519.162910,distance_accuracy,low,static,2.400,point_09,-1.0000,0,0,0,,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:28:39.262,1776162519.262890,distance_accuracy,low,static,2.400,point_09,-1.0000,0,0,0,,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:28:39.362,1776162519.362844,distance_accuracy,low,static,2.400,point_09,-1.0000,0,0,0,,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:28:39.467,1776162519.467848,distance_accuracy,low,static,2.400,point_09,-1.0000,0,0,0,,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:28:39.565,1776162519.563631,distance_accuracy,low,static,2.400,point_09,-1.0000,0,0,0,,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:28:39.663,1776162519.663036,distance_accuracy,low,static,2.400,point_09,-1.0000,0,0,0,,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:28:39.763,1776162519.763147,distance_accuracy,low,static,2.400,point_09,-1.0000,0,0,0,,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:28:39.862,1776162519.862799,distance_accuracy,low,static,2.400,point_09,-1.0000,0,0,0,,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:28:39.963,1776162519.963912,distance_accuracy,low,static,2.400,point_09,-1.0000,0,0,0,,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:28:40.063,1776162520.063317,distance_accuracy,low,static,2.400,point_09,-1.0000,0,0,0,,,0,0,1,0.8566,133.11,481.81,265.20,956.38
2026-04-14T13:28:40.164,1776162520.164952,distance_accuracy,low,static,2.400,point_09,2.0446,0,1,0,detected=False | in_zone=False | depth_valid=True | z=2.04 m | valid=0/0 | roi_mode=full,,0,0,1,0.8566,133.11,481.81,265.20,956.38
2026-04-14T13:28:40.263,1776162520.263073,distance_accuracy,low,static,2.400,point_09,2.0694,0,1,0,detected=False | in_zone=False | depth_valid=True | z=2.07 m | valid=0/0 | roi_mode=full,,0,0,1,0.8566,133.11,481.81,265.20,956.38
2026-04-14T13:28:40.365,1776162520.365893,distance_accuracy,low,static,2.400,point_09,2.0694,0,1,0,detected=False | in_zone=False | depth_valid=True | z=2.07 m | valid=0/0 | roi_mode=full,,0,0,1,0.6063,68.21,482.36,135.31,955.27
2026-04-14T13:28:40.464,1776162520.464492,distance_accuracy,low,static,2.400,point_09,2.0694,0,1,0,detected=False | in_zone=False | depth_valid=True | z=2.07 m | valid=0/0 | roi_mode=full,,0,0,1,0.6063,68.21,482.36,135.31,955.27
2026-04-14T13:28:40.564,1776162520.564774,distance_accuracy,low,static,2.400,point_09,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,,0,0,1,0.6063,68.21,482.36,135.31,955.27
2026-04-14T13:28:40.662,1776162520.662912,distance_accuracy,low,static,2.400,point_09,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
