wall_time_iso,ros_time_s,experiment_id,lighting,scenario,ground_truth_m,notes,person_z_m,person_detected,depth_valid,in_zone,depth_status_text,safety_state_text,safety_level,state_changed,det_count,det_depth_valid_count,detections_json,closest_det_conf,closest_bbox_cx,closest_bbox_cy,closest_bbox_w,closest_bbox_h,closest_depth_m
2026-04-22T14:48:09.501,1776858489.501340,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,2.0464,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.05 m | valid=2568/3774 | roi_mode=full,SAFE (z=2.05m),0,0,2,1,"[{""cx"":631.11,""cy"":480.87,""w"":416.36,""h"":958.26,""x1"":71,""y1"":0,""x2"":140,""y2"":160,""conf"":0.9462,""depth_m"":null,""depth_valid"":false},{""cx"":423.12,""cy"":335.43,""w"":201.36,""h"":666.89,""x1"":54,""y1"":0,""x2"":88,""y2"":111,""conf"":0.6369,""depth_m"":2.9833,""depth_valid"":true}]",0.9462,631.11,480.87,416.36,958.26,
2026-04-22T14:48:09.597,1776858489.597897,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,2.0553,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.06 m | valid=5852/12480 | roi_mode=full,SAFE (z=2.05m),0,0,1,0,"[{""cx"":543.9,""cy"":480.87,""w"":463.86,""h"":958.26,""x1"":52,""y1"":0,""x2"":130,""y2"":160,""conf"":0.9151,""depth_m"":null,""depth_valid"":false}]",0.9151,543.90,480.87,463.86,958.26,
2026-04-22T14:48:09.698,1776858489.698536,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,2.0572,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.06 m | valid=6173/12480 | roi_mode=full,SAFE (z=2.06m),0,1,1,0,"[{""cx"":543.9,""cy"":480.87,""w"":463.86,""h"":958.26,""x1"":52,""y1"":0,""x2"":130,""y2"":160,""conf"":0.9151,""depth_m"":null,""depth_valid"":false}]",0.9151,543.90,480.87,463.86,958.26,
2026-04-22T14:48:09.803,1776858489.803581,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,2.0645,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.06 m | valid=6759/13440 | roi_mode=full,SAFE (z=2.06m),0,0,1,1,"[{""cx"":531.05,""cy"":480.72,""w"":504.85,""h"":958.57,""x1"":47,""y1"":0,""x2"":131,""y2"":160,""conf"":0.9408,""depth_m"":1.9015,""depth_valid"":true}]",0.9408,531.05,480.72,504.85,958.57,1.9015
2026-04-22T14:48:09.898,1776858489.898895,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,2.0660,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.07 m | valid=6776/13440 | roi_mode=full,SAFE (z=2.06m),0,0,1,1,"[{""cx"":387.83,""cy"":481.11,""w"":542.78,""h"":957.78,""x1"":19,""y1"":0,""x2"":110,""y2"":160,""conf"":0.9412,""depth_m"":1.9015,""depth_valid"":true}]",0.9412,387.83,481.11,542.78,957.78,1.9015
2026-04-22T14:48:09.997,1776858489.997700,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,2.0647,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.06 m | valid=7527/14560 | roi_mode=full,SAFE (z=2.06m),0,0,1,1,"[{""cx"":387.83,""cy"":481.11,""w"":542.78,""h"":957.78,""x1"":19,""y1"":0,""x2"":110,""y2"":160,""conf"":0.9412,""depth_m"":1.9015,""depth_valid"":true}]",0.9412,387.83,481.11,542.78,957.78,1.9015
2026-04-22T14:48:10.097,1776858490.097653,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,2.0581,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.06 m | valid=7663/14880 | roi_mode=full,SAFE (z=2.07m),0,1,1,0,"[{""cx"":349.58,""cy"":480.83,""w"":558.65,""h"":958.33,""x1"":12,""y1"":0,""x2"":105,""y2"":160,""conf"":0.9172,""depth_m"":null,""depth_valid"":false}]",0.9172,349.58,480.83,558.65,958.33,
2026-04-22T14:48:10.200,1776858490.199992,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,2.0573,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.06 m | valid=7755/14880 | roi_mode=full,SAFE (z=2.06m),0,1,2,0,"[{""cx"":275.91,""cy"":475.81,""w"":551.82,""h"":949.6,""x1"":0,""y1"":0,""x2"":92,""y2"":158,""conf"":0.8783,""depth_m"":null,""depth_valid"":false},{""cx"":528.3,""cy"":468.76,""w"":195.91,""h"":829.21,""x1"":72,""y1"":9,""x2"":105,""y2"":147,""conf"":0.7533,""depth_m"":null,""depth_valid"":false}]",0.8783,275.91,475.81,551.82,949.60,
2026-04-22T14:48:10.310,1776858490.310311,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,2.0572,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.06 m | valid=6904/14536 | roi_mode=full,SAFE (z=2.06m),0,0,2,0,"[{""cx"":275.91,""cy"":475.81,""w"":551.82,""h"":949.6,""x1"":0,""y1"":0,""x2"":92,""y2"":158,""conf"":0.8783,""depth_m"":null,""depth_valid"":false},{""cx"":528.3,""cy"":468.76,""w"":195.91,""h"":829.21,""x1"":72,""y1"":9,""x2"":105,""y2"":147,""conf"":0.7533,""depth_m"":null,""depth_valid"":false}]",0.8783,275.91,475.81,551.82,949.60,
2026-04-22T14:48:10.397,1776858490.397656,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,2.0555,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.06 m | valid=6832/14536 | roi_mode=full,SAFE (z=2.05m),0,1,2,0,"[{""cx"":267.47,""cy"":473.57,""w"":534.94,""h"":946.29,""x1"":0,""y1"":0,""x2"":89,""y2"":158,""conf"":0.871,""depth_m"":null,""depth_valid"":false},{""cx"":521.92,""cy"":447.47,""w"":204.32,""h"":873.06,""x1"":70,""y1"":2,""x2"":104,""y2"":147,""conf"":0.8679,""depth_m"":null,""depth_valid"":false}]",0.8710,267.47,473.57,534.94,946.29,
