wall_time_iso,ros_time_s,experiment_id,lighting,scenario,ground_truth_m,notes,person_z_m,person_detected,depth_valid,in_zone,depth_status_text,safety_state_text,safety_level,state_changed,det_count,closest_det_conf,closest_bbox_cx,closest_bbox_cy,closest_bbox_w,closest_bbox_h
2026-04-14T14:22:35.776,1776165755.776584,distance_accuracy,1300lux,static,0.700,point_02,-1.0000,0,0,0,,SAFE (z=0.72m),0,1,1,0.8415,140.71,473.38,280.30,937.86
2026-04-14T14:22:35.876,1776165755.876451,distance_accuracy,1300lux,static,0.700,point_02,-1.0000,0,0,0,,DANGEROUS (z=0.72m),2,1,1,0.8411,140.69,473.30,280.29,938.00
2026-04-14T14:22:35.978,1776165755.978054,distance_accuracy,1300lux,static,0.700,point_02,-1.0000,0,0,0,,DANGEROUS (z=0.72m),2,0,1,0.8411,140.69,473.30,280.29,938.00
2026-04-14T14:22:36.077,1776165756.077497,distance_accuracy,1300lux,static,0.700,point_02,-1.0000,0,0,0,,DANGEROUS (z=0.73m),2,1,1,0.8350,141.91,473.46,282.76,938.09
2026-04-14T14:22:36.176,1776165756.176797,distance_accuracy,1300lux,static,0.700,point_02,-1.0000,0,0,0,,DANGEROUS (z=0.72m),2,1,1,0.8350,141.91,473.46,282.76,938.09
2026-04-14T14:22:36.276,1776165756.276453,distance_accuracy,1300lux,static,0.700,point_02,-1.0000,0,0,0,,DANGEROUS (z=0.73m),2,1,1,0.8350,141.91,473.46,282.76,938.09
2026-04-14T14:22:36.376,1776165756.376435,distance_accuracy,1300lux,static,0.700,point_02,-1.0000,0,0,0,,DANGEROUS (z=0.73m),2,0,1,0.8364,142.43,473.49,283.80,938.05
2026-04-14T14:22:36.476,1776165756.476619,distance_accuracy,1300lux,static,0.700,point_02,0.7318,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.73 m | valid=180/7488 | roi_mode=full,DANGEROUS (z=0.73m),2,0,1,0.8364,142.43,473.49,283.80,938.05
2026-04-14T14:22:36.577,1776165756.577160,distance_accuracy,1300lux,static,0.700,point_02,0.7451,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.75 m | valid=237/7488 | roi_mode=full,DANGEROUS (z=0.73m),2,0,1,0.8359,141.95,473.36,282.82,938.06
2026-04-14T14:22:36.676,1776165756.676672,distance_accuracy,1300lux,static,0.700,point_02,1.4651,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.47 m | valid=181/7332 | roi_mode=full,WARNING (z=1.11m),1,1,1,0.8359,141.95,473.36,282.82,938.06
