wall_time_iso,ros_time_s,experiment_id,lighting,scenario,ground_truth_m,notes,person_z_m,person_detected,depth_valid,in_zone,depth_status_text,safety_state_text,safety_level,state_changed,det_count,det_depth_valid_count,detections_json,closest_det_conf,closest_bbox_cx,closest_bbox_cy,closest_bbox_w,closest_bbox_h,closest_depth_m
2026-04-22T14:43:22.621,1776858202.621788,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,1.9703,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.97 m | valid=5446/8816 | roi_mode=full,SAFE (z=1.97m),0,0,1,0,"[{""cx"":682.83,""cy"":457.87,""w"":343.15,""h"":913.05,""x1"":85,""y1"":0,""x2"":143,""y2"":152,""conf"":0.9227,""depth_m"":null,""depth_valid"":false}]",0.9227,682.83,457.87,343.15,913.05,
2026-04-22T14:43:22.725,1776858202.725549,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,1.9622,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.96 m | valid=5334/8664 | roi_mode=full,SAFE (z=1.96m),0,1,1,0,"[{""cx"":684.9,""cy"":457.89,""w"":346.06,""h"":912.73,""x1"":86,""y1"":0,""x2"":143,""y2"":152,""conf"":0.9133,""depth_m"":null,""depth_valid"":false}]",0.9133,684.90,457.89,346.06,912.73,
2026-04-22T14:43:22.821,1776858202.821732,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,1.9531,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.95 m | valid=5368/8664 | roi_mode=full,SAFE (z=1.95m),0,1,1,0,"[{""cx"":684.9,""cy"":457.89,""w"":346.06,""h"":912.73,""x1"":86,""y1"":0,""x2"":143,""y2"":152,""conf"":0.9133,""depth_m"":null,""depth_valid"":false}]",0.9133,684.90,457.89,346.06,912.73,
2026-04-22T14:43:22.926,1776858202.926488,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,1.9530,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.95 m | valid=5445/8968 | roi_mode=full,SAFE (z=1.95m),0,0,1,0,"[{""cx"":685.13,""cy"":457.7,""w"":349.11,""h"":911.06,""x1"":85,""y1"":0,""x2"":144,""y2"":152,""conf"":0.9039,""depth_m"":null,""depth_valid"":false}]",0.9039,685.13,457.70,349.11,911.06,
2026-04-22T14:43:23.021,1776858203.021782,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,1.9448,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.94 m | valid=5472/8968 | roi_mode=full,SAFE (z=1.94m),0,1,1,0,"[{""cx"":683.72,""cy"":457.55,""w"":351.3,""h"":910.28,""x1"":85,""y1"":0,""x2"":144,""y2"":152,""conf"":0.8841,""depth_m"":null,""depth_valid"":false}]",0.8841,683.72,457.55,351.30,910.28,
2026-04-22T14:43:23.122,1776858203.122255,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,1.9368,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.94 m | valid=5558/8968 | roi_mode=full,SAFE (z=1.94m),0,0,1,0,"[{""cx"":683.72,""cy"":457.55,""w"":351.3,""h"":910.28,""x1"":85,""y1"":0,""x2"":144,""y2"":152,""conf"":0.8841,""depth_m"":null,""depth_valid"":false}]",0.8841,683.72,457.55,351.30,910.28,
2026-04-22T14:43:23.225,1776858203.225069,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,1.9432,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.94 m | valid=5644/8968 | roi_mode=full,SAFE (z=1.94m),0,0,1,0,"[{""cx"":723.7,""cy"":456.82,""w"":272.74,""h"":908.57,""x1"":98,""y1"":0,""x2"":144,""y2"":152,""conf"":0.7972,""depth_m"":null,""depth_valid"":false}]",0.7972,723.70,456.82,272.74,908.57,
2026-04-22T14:43:23.321,1776858203.321693,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,1.9367,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.94 m | valid=5456/6992 | roi_mode=full,SAFE (z=1.94m),0,0,1,0,"[{""cx"":723.7,""cy"":456.82,""w"":272.74,""h"":908.57,""x1"":98,""y1"":0,""x2"":144,""y2"":152,""conf"":0.7972,""depth_m"":null,""depth_valid"":false}]",0.7972,723.70,456.82,272.74,908.57,
2026-04-22T14:43:23.421,1776858203.421658,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,1.9373,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.94 m | valid=5555/6992 | roi_mode=full,SAFE (z=1.94m),0,0,1,0,"[{""cx"":736.25,""cy"":458.58,""w"":249.58,""h"":909.72,""x1"":102,""y1"":1,""x2"":144,""y2"":152,""conf"":0.9206,""depth_m"":null,""depth_valid"":false}]",0.9206,736.25,458.58,249.58,909.72,
2026-04-22T14:43:23.529,1776858203.529284,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,1.9294,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.93 m | valid=5347/6342 | roi_mode=full,SAFE (z=1.93m),0,1,1,0,"[{""cx"":736.25,""cy"":458.58,""w"":249.58,""h"":909.72,""x1"":102,""y1"":1,""x2"":144,""y2"":152,""conf"":0.9206,""depth_m"":null,""depth_valid"":false}]",0.9206,736.25,458.58,249.58,909.72,
